hierarchy,store_id,year,week_num,proj_revenue,proj_units
Ex Department 1,3,2019,1,0.0,0.0
Ex Department 1,3,2019,2,0.0,0.0
Ex Department 1,3,2019,3,0.0,0.0
Ex Department 1,3,2019,4,0.0,0.0
Ex Department 1,3,2019,5,0.0,0.0
Ex Department 1,3,2019,6,0.0,0.0
Ex Department 1,3,2019,7,0.0,0.0
Ex Department 1,3,2019,8,0.0,0.0
Ex Department 1,3,2019,9,0.0,0.0
Ex Department 1,3,2019,10,6616.882499999992,2479.7000000000007
Ex Department 1,3,2019,11,1251.3051250000062,606.135000000002
Ex Department 1,3,2019,12,5018.746381249999,2026.241750000001
Ex Department 1,3,2019,13,1957.6312003125058,857.1538375000018
Ex Department 1,3,2019,14,-928.7057396718665,-422.3884706249992
Ex Department 1,3,2019,15,3097.4354733445434,1026.3421058437525
Ex Department 1,3,2019,16,10510.43374701176,3770.009211135937
Ex Department 1,3,2019,17,7950.850434362343,2539.5596716927357
Ex Department 1,3,2019,18,13108.864456080453,4181.587655277373
Ex Department 1,3,2019,19,14061.744678884483,4336.067038041241
Ex Department 1,3,2019,20,20576.157412828717,6277.770389943304
Ex Department 1,3,2019,21,19485.22478347014,5709.758909440472
Ex Department 1,3,2019,22,24687.67902264365,7311.396854912491
Ex Department 1,3,2019,23,24995.249973775833,7239.866697658123
Ex Department 1,3,2019,24,24295.662472464624,7302.010032541024
Ex Department 1,3,2019,25,27947.987596087856,8350.360534168074
Ex Department 1,3,2019,26,32146.592975892236,9904.878560876477
Ex Department 1,3,2019,27,33088.638124686855,10387.4224889203
Ex Department 1,3,2019,28,35201.785530921195,11117.943613366315
Ex Department 1,3,2019,29,37825.19030746726,11811.04079403463
Ex Department 1,3,2019,30,32262.374822840626,10169.54283373636
Ex Department 1,3,2019,31,33308.36293898265,10254.384975423178
Ex Department 1,3,2019,32,35569.541329681786,11226.59747419434
Ex Department 1,3,2019,33,32756.61957710338,10429.965260404053
Ex Department 1,3,2019,34,31586.887495942923,9493.35583154926
Ex Department 1,3,2019,35,31216.20115772367,9636.443046657972
Ex Department 1,3,2019,36,28146.426941942613,8644.398093698685
Ex Department 1,3,2019,37,20173.68410168917,5601.467537826818
Ex Department 1,3,2019,38,23194.6057850555,6724.062931133525
Ex Department 1,3,2019,39,23857.876851504247,6420.936694926331
Ex Department 1,3,2019,40,23457.75346013526,6243.180177770588
Ex Department 1,3,2019,41,16815.218762500583,3934.8506671619543
Ex Department 1,3,2019,42,19531.55146145211,8337.555255048028
Ex Department 1,3,2019,43,-45021.46691660748,-16777.036824945193
Ex Department 1,3,2019,44,-50060.78926112664,-18740.782001075364
Ex Department 1,3,2019,45,-50087.78684780621,-18751.22160275618
Ex Department 1,3,2019,46,-50119.92007000091,-18763.650709602392
Ex Department 1,3,2019,47,-50142.34972229557,-18772.427173126343
Ex Department 1,3,2019,48,-50148.64611464469,-18774.21965622867
Ex Department 1,3,2019,49,-50138.61719692298,-18769.92781970842
Ex Department 1,3,2019,50,-50127.9685721425,-18765.676250395572
Ex Department 1,3,2019,51,-50118.19974189166,-18761.93720460217
Ex Department 1,3,2019,52,-50103.673375935374,-18756.453313603437
Ex Department 1,4,2019,1,70988.29000000001,27030.0
Ex Department 1,4,2019,2,71817.16,27690.0
Ex Department 1,4,2019,3,64315.200000000004,25066.0
Ex Department 1,4,2019,4,66840.34999999999,26674.0
Ex Department 1,4,2019,5,64956.600000000006,26152.0
Ex Department 1,4,2019,6,65788.95999999999,26991.0
Ex Department 1,4,2019,7,60436.12000000001,25544.0
Ex Department 1,4,2019,8,61182.06999999999,26004.0
Ex Department 1,4,2019,9,64503.049999999996,26876.0
Ex Department 1,4,2019,10,80803.32999999999,31201.95
Ex Department 1,4,2019,11,74304.128,28591.3975
Ex Department 1,4,2019,12,78193.72940000001,29430.517375
Ex Department 1,4,2019,13,81851.67487,29183.74324375
Ex Department 1,4,2019,14,74955.0051135,26051.8804059375
Ex Department 1,4,2019,15,86373.732869175,29651.174426234375
Ex Department 1,4,2019,16,87018.79701263376,29179.133147546094
Ex Department 1,4,2019,17,87478.98686326544,29304.2898049234
Ex Department 1,4,2019,18,89956.4142064287,30258.904295169566
Ex Department 1,4,2019,19,85227.49041675014,28414.149509928047
Ex Department 1,4,2019,20,88603.42493758767,29514.85698542445
Ex Department 1,4,2019,21,84713.18068446705,28285.99983469567
Ex Department 1,4,2019,22,89506.18421869038,30332.799826430455
Ex Department 1,4,2019,23,93818.49242962491,31907.889817751977
Ex Department 1,4,2019,24,88631.40505110617,29458.184308639575
Ex Department 1,4,2019,25,94499.60080366145,31643.443524071554
Ex Department 1,4,2019,26,89383.59984384452,29980.715700275134
Ex Department 1,4,2019,27,96911.89083603676,33315.00148528889
Ex Department 1,4,2019,28,97577.74637783857,33309.35155955333
Ex Department 1,4,2019,29,99953.71669673054,33812.669137531004
Ex Department 1,4,2019,30,94193.11003156705,32232.40259440755
Ex Department 1,4,2019,31,93025.23003314542,31561.62522412793
Ex Department 1,4,2019,32,89803.19013480267,30355.836610334325
Ex Department 1,4,2019,33,87432.70717154282,29250.60257210104
Ex Department 1,4,2019,34,89254.51528661994,29706.495538518593
Ex Department 1,4,2019,35,97172.30329527595,31993.026295147647
Ex Department 1,4,2019,36,96700.978816581,32207.96888859331
Ex Department 1,4,2019,37,88707.43940677836,29414.760675645673
Ex Department 1,4,2019,38,84827.122033954,28290.234219181788
Ex Department 1,4,2019,39,86295.65892533027,29273.950715382398
Ex Department 1,4,2019,40,85593.87985075927,28805.690775655115
Ex Department 1,4,2019,41,84388.40409641786,28667.582465166648
Ex Department 1,4,2019,42,81216.5882670154,27558.061596690197
Ex Department 1,4,2019,43,88720.34746943164,30274.374685203184
Ex Department 1,4,2019,44,89189.80072142198,30632.248928575744
Ex Department 1,4,2019,45,86862.28500493777,30005.652159572554
Ex Department 1,4,2019,46,87414.26021500157,30273.312591347603
Ex Department 1,4,2019,47,80949.35623355943,28051.292435901225
Ex Department 1,4,2019,48,83469.93400343558,28981.806983431845
Ex Department 1,4,2019,49,82121.42838471543,28870.079754625767
Ex Department 1,4,2019,50,81590.20196911466,29067.250285480506
Ex Department 1,4,2019,51,82387.64456599204,29705.992670034153
Ex Department 1,4,2019,52,65803.3052926344,23805.311042329467
Ex Department 1,5,2019,1,0.0,0.0
Ex Department 1,5,2019,2,0.0,0.0
Ex Department 1,5,2019,3,0.0,0.0
Ex Department 1,5,2019,4,0.0,0.0
Ex Department 1,5,2019,5,0.0,0.0
Ex Department 1,5,2019,6,0.0,0.0
Ex Department 1,5,2019,7,0.0,0.0
Ex Department 1,5,2019,8,0.0,0.0
Ex Department 1,5,2019,9,0.0,0.0
Ex Department 1,5,2019,10,0.0,0.0
Ex Department 1,5,2019,11,0.0,0.0
Ex Department 1,5,2019,12,0.0,0.0
Ex Department 1,5,2019,13,0.0,0.0
Ex Department 1,5,2019,14,0.0,0.0
Ex Department 1,5,2019,15,0.0,0.0
Ex Department 1,5,2019,16,0.0,0.0
Ex Department 1,5,2019,17,0.0,0.0
Ex Department 1,5,2019,18,0.0,0.0
Ex Department 1,5,2019,19,0.0,0.0
Ex Department 1,5,2019,20,0.0,0.0
Ex Department 1,5,2019,21,0.0,0.0
Ex Department 1,5,2019,22,0.0,0.0
Ex Department 1,5,2019,23,0.0,0.0
Ex Department 1,5,2019,24,0.0,0.0
Ex Department 1,5,2019,25,0.0,0.0
Ex Department 1,5,2019,26,0.0,0.0
Ex Department 1,5,2019,27,0.0,0.0
Ex Department 1,5,2019,28,0.0,0.0
Ex Department 1,5,2019,29,0.0,0.0
Ex Department 1,5,2019,30,0.0,0.0
Ex Department 1,5,2019,31,0.0,0.0
Ex Department 1,5,2019,32,0.0,0.0
Ex Department 1,5,2019,33,0.0,0.0
Ex Department 1,5,2019,34,0.0,0.0
Ex Department 1,5,2019,35,0.0,0.0
Ex Department 1,5,2019,36,0.0,0.0
Ex Department 1,5,2019,37,0.0,0.0
Ex Department 1,5,2019,38,0.0,0.0
Ex Department 1,5,2019,39,0.0,0.0
Ex Department 1,5,2019,40,0.0,0.0
Ex Department 1,5,2019,41,0.0,0.0
Ex Department 1,5,2019,42,0.0,0.0
Ex Department 1,5,2019,43,0.0,0.0
Ex Department 1,5,2019,44,0.0,0.0
Ex Department 1,5,2019,45,0.0,0.0
Ex Department 1,5,2019,46,0.0,0.0
Ex Department 1,5,2019,47,0.0,0.0
